Order Date,Product Name,Category,Region,Quantity,Sales,Profit
2024-12-31,Printer,Office,North,4,3640,348.93
2022-11-27,Mouse,Accessories,East,7,1197,106.53
2022-05-11,Tablet,Electronics,South,5,5865,502.73
2024-03-16,Mouse,Accessories,South,2,786,202.87
2022-09-10,Mouse,Accessories,West,1,509,103.28
2023-12-01,Camera,Electronics,West,1,524,106.35
2023-10-09,Headphones,Accessories,North,7,6167,1027.98
2022-01-14,Camera,Electronics,South,7,3059,873.5
2022-04-02,Smartwatch,Electronics,East,9,5526,595.28
2024-10-22,Printer,Office,South,8,672,186.37
2023-12-04,Monitor,Accessories,South,6,7074,1357.68
2022-09-27,Smartwatch,Electronics,East,2,502,137.4
2023-12-21,Tablet,Electronics,North,7,7462,2166.17
2024-02-03,Smartphone,Electronics,West,5,4205,585.29
2023-10-10,Camera,Electronics,West,1,570,138.54
2022-10-16,Headphones,Accessories,East,1,441,102.42
2022-05-15,Mouse,Accessories,North,7,7469,589.81
2023-02-11,Tablet,Electronics,South,2,2212,145.75
2023-12-27,Tablet,Electronics,East,5,740,146.39
2023-10-05,Headphones,Accessories,North,1,662,193.92
2024-03-05,Mouse,Accessories,North,7,5712,651.27
2023-07-18,Smartwatch,Electronics,North,3,2739,572.73
2023-06-25,Keyboard,Accessories,West,5,1400,213.63
2023-11-13,Printer,Office,North,3,3477,939.2
2022-07-09,Camera,Electronics,North,5,3475,570.36
2023-12-11,Laptop,Electronics,West,9,6138,1562.14
2023-03-18,Camera,Electronics,West,5,3665,406.93
2024-08-09,Printer,Office,North,2,2372,206.42
2024-05-04,Laptop,Electronics,North,2,1382,211.11
2022-09-04,Laptop,Electronics,West,1,1126,194.08
2022-10-21,Printer,Office,West,8,1376,152.1
2024-01-22,Mouse,Accessories,West,4,988,147.91
2023-04-09,Laptop,Electronics,North,9,10773,1907.36
2023-02-07,Headphones,Accessories,South,4,3252,713.46
2023-05-04,Headphones,Accessories,North,3,2739,202.81
2023-04-18,Tablet,Electronics,South,7,2709,702.79
2022-12-12,Printer,Office,West,3,936,201.24
2022-09-11,Camera,Electronics,West,4,3720,410.92
2024-03-26,Mouse,Accessories,West,5,5320,716.91
2023-09-20,Headphones,Accessories,East,4,804,121.51
2023-05-25,Laptop,Electronics,North,8,1224,246.77
2022-12-04,Headphones,Accessories,South,9,8667,781.78
2022-06-10,Monitor,Accessories,West,3,3018,320.11
2023-02-05,Laptop,Electronics,West,5,4325,1023.39
2024-01-20,Laptop,Electronics,South,3,1557,181.08
2022-01-27,Monitor,Accessories,South,6,3672,1002.5
2023-03-29,Mouse,Accessories,West,1,333,72.34
2022-01-17,Headphones,Accessories,West,4,2384,577.26
2024-11-26,Mouse,Accessories,West,6,888,210.39
2024-09-19,Laptop,Electronics,West,5,3280,954.17
2023-07-20,Mouse,Accessories,South,7,1239,177.39
2024-05-03,Headphones,Accessories,East,8,5880,436.85
2022-09-03,Smartphone,Electronics,West,2,1668,437.3
2024-07-09,Printer,Office,West,7,4109,1037.64
2022-11-17,Smartwatch,Electronics,West,7,595,148.5
2023-12-28,Headphones,Accessories,East,7,8155,1587.91
2022-05-30,Monitor,Accessories,South,3,1872,553.1
2024-04-17,Smartwatch,Electronics,East,6,2124,126.03
2024-09-30,Monitor,Accessories,West,5,5210,1338.8
2024-06-02,Mouse,Accessories,South,7,5761,362.48
2022-09-26,Headphones,Accessories,South,7,6895,1596.35
2024-12-17,Smartwatch,Electronics,East,3,2118,317.08
2024-10-09,Smartwatch,Electronics,North,5,830,58.28
