,Match1
0,"('Noor Ahmed ', 9.714285714285714)"
1,"('Rutraj Gaikwad', 9.571428571428571)"
2,"('Rachin Ravindra ', 8.80952380952381)"
3,"('Khaleel Ahmed ', 8.666666666666666)"
4,"('MS Dhoni', 7.380952380952381)"
5,"('Ravichandra Ashwin ', 7.285714285714286)"
6,"('Ravindra Jadeja', 6.666666666666667)"
7,"('Nathan Ellis', 6.0476190476190474)"
8,"('Shivam Dube', 3.857142857142857)"
9,"('Sam Curran', 2.761904761904762)"
10,"('Rahul Tripati', 2.5714285714285716)"
11,"('Deepak Hooda', 2.4285714285714284)"
