Batting,,R,B,,4s,6s,SR
Quinton de Kock †,,4,5,,1,0,80.00
c †Sharma b Hazlewood,,,,,,,
Sunil Narine ,,44,26,,5,3,169.23
c †Sharma b Rasikh Salam,,,,,,,
Ajinkya Rahane (c),,56,31,,6,4,180.64
c Rasikh Salam b Pandya,,,,,,,
Venkatesh Iyer ,,6,7,,1,0,85.71
b Pandya,,,,,,,
Angkrish Raghuvanshi ,,30,22,,2,1,136.36
c †Sharma b Yash Dayal,,,,,,,
Rinku Singh ,,12,10,,1,0,120.00
b Pandya,,,,,,,
Andre Russell ,,4,3,,1,0,133.33
b Suyash Sharma,,,,,,,
Ramandeep Singh ,,6,9,,0,0,66.66
not out,,,,,,,
Harshit Rana ,,5,6,,1,0,83.33
c †Sharma b Hazlewood,,,,,,,
Spencer Johnson ,,1,1,,0,0,100.00
not out,,,,,,,
Extras,,6,"(lb 2, w 4)",,,,
Total,,174/8,20 Ov (RR: 8.70),,,,
"Did not bat:
Varun Chakravarthy, 
Vaibhav Arora ",,,,,,,
"Fall of wickets: 1-4 (Quinton de Kock, 0.5 ov), 2-107 (Sunil Narine, 9.6 ov), 3-109 (Ajinkya Rahane, 10.3 ov), 4-125 (Venkatesh Iyer, 12.1 ov), 5-145 (Rinku Singh, 14.6 ov), 6-150 (Andre Russell, 15.4 ov), 7-168 (Angkrish Raghuvanshi, 18.5 ov), 8-173 (Harshit Rana, 19.5 ov)",,,,,,,
